,Venue,Events,Capacity,Status
0,Parc des Princes,"Football (group stage, quarter-finals and gold medal matches)",48583,Existing
1,Stade Roland Garros[29],Tennis,"36,000 (15,000 + 12,000 + 9,000)",Existing
2,Stade Roland Garros[29],Boxing (finals),"36,000 (15,000 + 12,000 + 9,000)",Existing
3,Paris Expo Porte de Versailles,Volleyball,"18,000 (12,000 + 12,000)",Existing
4,Paris Expo Porte de Versailles,Table tennis,"18,000 (12,000 + 12,000)",Existing
5,Paris Expo Porte de Versailles,Handball (preliminaries),"18,000 (12,000 + 12,000)",Existing
6,Paris Expo Porte de Versailles,Weightlifting,"18,000 (12,000 + 12,000)",Existing
7,Bercy Arena,Gymnastics (artistic and trampolining),15000,Existing
8,Bercy Arena,Basketball (finals),15000,Existing
9,Grand Palais,Fencing,8000,Existing
10,Grand Palais,Taekwondo,8000,Existing
11,Place de la Concorde,Basketball (3x3),"30,000 (overall)",Temporary
12,Place de la Concorde,Breaking,"30,000 (overall)",Temporary
13,Place de la Concorde,Cycling (BMX freestyle),"30,000 (overall)",Temporary
14,Place de la Concorde,Skateboarding,"30,000 (overall)",Temporary
15,Hôtel de Ville,Athletics (marathon start),1500,Temporary
16,Pont Alexandre III,Aquatics (marathon swimming),1500,Temporary
17,Pont Alexandre III,Triathlon,1500,Temporary
18,Pont Alexandre III,Cycling (time trial finish),1500,Temporary
19,Trocadéro (Pont d'Iéna),Athletics (race walk),"13,000 (3,000 sitting)",Temporary
20,Trocadéro (Pont d'Iéna),Cycling (road race),"13,000 (3,000 sitting)",Temporary
21,Eiffel Tower Stadium (Champ de Mars),Beach volleyball,12000,Temporary
22,Grand Palais Éphémère,Judo,9000,Temporary
23,Grand Palais Éphémère,Wrestling,9000,Temporary
24,Les Invalides,Archery,8000,Temporary
25,Les Invalides,Athletics (marathon finish),8000,Temporary
26,Les Invalides,Cycling (time trial start),8000,Temporary
Parc des Princes,"Football (group stage, quarter-finals and gold medal matches)",48583,Existing
Stade Roland Garros[29],Tennis,"36,000 (15,000 + 12,000 + 9,000)",Existing
Stade Roland Garros[29],Boxing (finals),"36,000 (15,000 + 12,000 + 9,000)",Existing
Paris Expo Porte de Versailles,Volleyball,"18,000 (12,000 + 12,000)",Existing
Paris Expo Porte de Versailles,Table tennis,"18,000 (12,000 + 12,000)",Existing
Paris Expo Porte de Versailles,Handball (preliminaries),"18,000 (12,000 + 12,000)",Existing
Paris Expo Porte de Versailles,Weightlifting,"18,000 (12,000 + 12,000)",Existing
Bercy Arena,Gymnastics (artistic and trampolining),15000,Existing
Bercy Arena,Basketball (finals),15000,Existing
Grand Palais,Fencing,8000,Existing
Grand Palais,Taekwondo,8000,Existing
Place de la Concorde,Basketball (3x3),"30,000 (overall)",Temporary
Place de la Concorde,Breaking,"30,000 (overall)",Temporary
Place de la Concorde,Cycling (BMX freestyle),"30,000 (overall)",Temporary
Place de la Concorde,Skateboarding,"30,000 (overall)",Temporary
Hôtel de Ville,Athletics (marathon start),1500,Temporary
Pont Alexandre III,Aquatics (marathon swimming),1500,Temporary
Pont Alexandre III,Triathlon,1500,Temporary
Pont Alexandre III,Cycling (time trial finish),1500,Temporary
Trocadéro (Pont d'Iéna),Athletics (race walk),"13,000 (3,000 sitting)",Temporary
Trocadéro (Pont d'Iéna),Cycling (road race),"13,000 (3,000 sitting)",Temporary
Eiffel Tower Stadium (Champ de Mars),Beach volleyball,12000,Temporary
Grand Palais Éphémère,Judo,9000,Temporary
Grand Palais Éphémère,Wrestling,9000,Temporary
Les Invalides,Archery,8000,Temporary
Les Invalides,Athletics (marathon finish),8000,Temporary
Les Invalides,Cycling (time trial start),8000,Temporary
