,Venue,Events,Capacity,Status
0,"Pierre Mauroy Stadium, Lille",Basketball (group stage),26000,Existing
1,"Pierre Mauroy Stadium, Lille",Handball (finals),26000,Existing
2,"National Olympic Nautical Stadium of Île-de-France [fr], Vaires-sur-Marne",Rowing,22000,Existing
3,"National Olympic Nautical Stadium of Île-de-France [fr], Vaires-sur-Marne","Canoeing (slalom, sprint)",22000,Existing
4,"Stade Vélodrome, Marseille","Football (6 group stage matches, quarter-finals, women's and men's semi-finals)",67394,Existing
5,"Parc Olympique Lyonnais, Lyon","Football (6 group stage matches, quarter-finals, men's and women's semi-finals, women's bronze medal match)",59186,Existing
6,"Stade Matmut Atlantique, Bordeaux","Football (6 group stage matches, quarter-finals)",42115,Existing
7,"Stade Geoffroy-Guichard, Saint-Étienne",Football (6 group stage matches),41965,Existing
8,"Allianz Riviera, Nice",Football (6 group stage matches),35624,Existing
9,"Stade de la Beaujoire, Nantes","Football (6 group stage matches, quarter-finals, men's bronze medal match)",35322,Existing
10,"Roucas Blanc Olympic Marina [fr], Marseille",Sailing,5000,Existing
11,"Teahupo'o, Tahiti",Surfing,5000,Existing
12,"National Shooting Centre, Châteauroux",Shooting,3000,Existing
"Pierre Mauroy Stadium, Lille",Basketball (group stage),26000,Existing
"Pierre Mauroy Stadium, Lille",Handball (finals),26000,Existing
"National Olympic Nautical Stadium of Île-de-France [fr], Vaires-sur-Marne",Rowing,22000,Existing
"National Olympic Nautical Stadium of Île-de-France [fr], Vaires-sur-Marne","Canoeing (slalom, sprint)",22000,Existing
"Stade Vélodrome, Marseille","Football (6 group stage matches, quarter-finals, women's and men's semi-finals)",67394,Existing
"Parc Olympique Lyonnais, Lyon","Football (6 group stage matches, quarter-finals, men's and women's semi-finals, women's bronze medal match)",59186,Existing
"Stade Matmut Atlantique, Bordeaux","Football (6 group stage matches, quarter-finals)",42115,Existing
"Stade Geoffroy-Guichard, Saint-Étienne",Football (6 group stage matches),41965,Existing
"Allianz Riviera, Nice",Football (6 group stage matches),35624,Existing
"Stade de la Beaujoire, Nantes","Football (6 group stage matches, quarter-finals, men's bronze medal match)",35322,Existing
"Roucas Blanc Olympic Marina [fr], Marseille",Sailing,5000,Existing
"Teahupo'o, Tahiti",Surfing,5000,Existing
"National Shooting Centre, Châteauroux",Shooting,3000,Existing
