,Venue,Events,Capacity,Status
0,Jardins du Trocadéro,Opening ceremony,"30,000 / 13,000",Temporary
1,Jardins du Trocadéro,Champions Park,"30,000 / 13,000",Temporary
2,The Seine,Opening ceremony,570000,Temporary
3,Olympic Village,Olympic Village,"18,000 athletes",Built for the Games
4,"Aranui 5, Tahiti",Surfing Olympic Village,256 athletes,Existing
5,"Parc de l'Aire des Vents, Dugny",Media Village,—,Temporary
6,"Le Bourget Exhibition Centre and Media Village [fr], Le Bourget",International Broadcast Centre,15000,Existing
7,Paris Congress Centre,Main Press Centre,—,Existing
8,Polygone de Vincennes [fr],Road cycling training venue,—,Existing
9,Tuileries Garden,Olympic cauldron,—,TemporaryJardins du Trocadéro,Opening ceremony,"30,000 / 13,000",Temporary
Jardins du Trocadéro,Champions Park,"30,000 / 13,000",Temporary
The Seine,Opening ceremony,570000,Temporary
Olympic Village,Olympic Village,"18,000 athletes",Built for the Games
"Aranui 5, Tahiti",Surfing Olympic Village,256 athletes,Existing
"Parc de l'Aire des Vents, Dugny",Media Village,—,Temporary
"Le Bourget Exhibition Centre and Media Village [fr], Le Bourget",International Broadcast Centre,15000,Existing
Paris Congress Centre,Main Press Centre,—,Existing
Polygone de Vincennes [fr],Road cycling training venue,—,Existing
Tuileries Garden,Olympic cauldron,—,Temporary
